,index,author,count,mean
79,2013,4090d2813705ef20aae4742dbf41de8d,15,59788.333333333336
80,1140,24d897395a2ab348668494df0b36266f,6,59640.833333333336
81,3216,65aaf212f6f0d1298b88b56c41667667,10,57124.9
82,1123,24394d5b8259c7f48aad04ae17f2cb1d,99,57002.52525252525
83,5894,b86235de9fa5eb69ec6b9195060d0c22,2,56620.5
84,6858,d717dc24a43826584ff10a6874954918,35,56088.485714285714
85,5203,a33555f853acdf9e7b7e819ca86c1801,11,55575.0
86,184,0505f1041a7ef8409157920163b4e9ab,86,54185.87209302326
87,8060,fdd641c3aa46d31d172e0c7d483be63a,98,53759.948979591834
88,4889,9982a90328a880f4cea2d3b403f2a537,44,53040.704545454544
89,7155,dee68d0eeec913b8fd4e64b96547d169,21,51355.04761904762
90,377,0c09c128f517e91ca8e8ae409ccf2c1f,73,51107.931506849316
91,2256,47d09b359a1011dbbdf367b60548f19a,16,51073.8125
92,1113,23d1a3446adff3e85149e90ba379d215,99,50894.9494949495
93,6447,ca663cf84974bb93b3589c16d8e2a628,18,49814.944444444445
94,4224,84ad790973b53b4b8a30dbb0b4f173cf,68,49790.705882352944
95,1199,2661ce38d897bd2432df4eb3d9b2e730,26,48595.846153846156
96,5806,b56c0e167ba6d12f540cc9874292c3cf,99,47145.9595959596
97,5272,a52f4f822921bc2938a0e15843f10db1,73,46738.09589041096
98,4757,95e07a9d070517e48c1966ad77400aeb,98,45968.62244897959
99,6775,d4934e19c4a29a7a8ac37ff6d06fc3ba,32,44594.375
100,1713,3697f7a99d63fb1adc242c15ce88c308,45,43353.311111111114
101,2154,44c034acfea9e5805f779d3fd209ebf4,42,43067.57142857143
102,135,039fdeef383982fe08caa8948f19cfe8,9,42412.555555555555
103,6934,d8d14ff7c6541b5e01596e8238e285bc,80,41905.25
104,2051,41881da6f1fbe1156075709666b34afe,63,41657.555555555555
105,7358,e5c232b62f42b0a523f79b05e86706ea,1,41436.0
106,3610,71cbe6885f3fb6ff5767b6d50b235dcd,1,41374.0
107,6475,cb2ce958fb272bc7ae93e3ef91772708,92,40874.565217391304
108,4686,939a906ebfc257086c880e9ffd8fa96d,46,40771.80434782609
109,1295,29187eb2cd55f6ff16b028d073ee37cf,5,40696.0
110,269,088b8d41f18b6b5aa6fb2bd3928181fc,94,40466.15957446808
111,2422,4cd4be4d1979ae637d73f56ad4c0611e,98,39360.5306122449
112,1242,27abdcc391131f289d3c96634d5ce809,99,39292.28282828283
113,3462,6d64eb7b987157dd85b756e36ff1fb59,3,38849.666666666664
114,4669,930ceb2c02eab0f4d32791ff83f27086,97,38214.87628865979
115,4726,952d59a5122e34b0e1a8b03f604ece1f,13,37840.92307692308
116,6632,cfa6cd3d370f5ab29573d3a373e2d9d9,59,36690.94915254237
117,1736,3766de2b6c113f66cb1d69deffade32c,82,36576.91463414634
118,1796,39d378136084d8a9fd94792cfa2e42a0,3,36504.333333333336
119,5326,a65bf550e278ef35ec8de70fe6dd6604,48,36243.208333333336
120,7881,f7d2fa9452978da3d2e03b05ecfddd3b,93,36044.720430107525
121,894,1cf73c638ecefe992250734529fdb2ff,41,36006.21951219512
122,6477,cb2f1ce0b921cee519462cabc91a93a0,2,35432.0
123,4534,8eedb5f2b58817c0ea419a9c2b814882,1,35285.0
124,3266,674e4cbbe5256ae3288c330cc89f2212,99,35267.53535353536
125,7602,ee6ef25ed1266325fca38a03881dad00,96,35040.739583333336
126,3704,74b8b1434407bca7f4d59a4d0951812a,17,34214.35294117647
127,1230,27671898e70db48ac056edad27d409c3,97,33983.81443298969
128,7534,ec659c4f9682a7aed2d035006ed834d8,95,33527.01052631579
129,7909,f8d44ae9028f02509d0b498c5d770587,82,33015.18292682927
130,3996,7d30489ef49896fecf40ac6c660df93e,95,32819.81052631579
131,5280,a5671f6e4c41fb006e6ba90ff855f7dd,96,32502.635416666668
132,2964,5d50ec54fdf9d57edfe308f7acf9229b,95,31504.821052631578
133,6208,c23207d9f0d6933cc180d5fd6afe58f6,58,30796.103448275862
134,2183,4585abd58d165a55333375fc15a931a7,35,30530.542857142857
135,3059,607f25fc0ddc3a923fc96b3f77c1b2a3,100,30027.84
136,5215,a398ae6ceea5f3165b3eca6d9595d337,1,29958.0
137,3100,61b5748a46c561f84fb62be67e253777,98,29692.65306122449
138,3024,5f4ae893bfcb3afcb0320f933885d875,31,29630.74193548387
139,374,0c048446213391b7a99c54bb09316820,7,29618.571428571428
140,1777,38d83c4214a824888ddc3c13300026c3,82,29577.121951219513
141,5938,b9678b53ee367a14fcad281f65868fe7,16,29375.5
142,3963,7bca8928d0ec30ee8f205d52eb15d69c,17,29312.235294117647
143,3161,63b98c35c945acfd9b65d014fb3491ee,52,29103.25
144,6942,d92ab49e4d9984b6122168b6281275f8,15,28996.866666666665
145,3166,63d17349c9b3eeee1ed93c76d525aa46,96,28995.895833333332
146,6885,d7938938050cd787ea80c1fdcd7a6bd0,20,28828.45
147,6211,c28ad20867b00897444971386bb3f9d2,76,28364.88157894737
148,5557,ae45818297aac4b799bcbe18226a5118,28,28333.75
149,3728,7538e3f3cac9252d835a7aaa8b19ddc7,78,28213.628205128207
150,2856,5a11f4267bb5a818bebda0bf87acab33,99,27557.121212121212
151,5980,baba778c36bf9b6961ae36531f69ed0f,99,27339.616161616163
152,539,116054a998a1c6f476a8623f6e0880d9,14,27313.285714285714
153,7752,f3895d3357feb489a13d58a178083c0f,99,27288.37373737374
154,1127,2463df597aff84f7c861f8e449d7ba00,15,27215.8
155,2800,5860f1f12ad41eb98bb04cb52245028e,1,27131.0
156,6264,c49803df32fa67cd6684d4349d7689b0,9,26931.777777777777
157,6152,c05f237b09c12593d4b3a13c47441128,98,26897.14285714286
158,6311,c605d8a737467fefcfa0bc5b9ed68a48,4,26828.5
159,4860,98f00b0c14e7dd138657f1d58f68cdd3,3,26749.666666666668
